lam,mu
1.2174202612951366,2.2529683503767526
1.3663491151372429,2.2494123820652074
1.045582131078163,2.247816932316166
1.1504416647133537,2.2419692125623385
1.4034190935444593,2.2402100534708365
0.9196592135308811,2.2381464624904814
1.0562372695352515,2.2573674341755843
1.4953983101143495,2.2610642559662484
0.937518842971286,2.249046715467701
1.1119966235778769,2.2462952370422546
1.5208457062818976,2.245687481595695
1.2034919234414891,2.250285267712772
1.0033597800310738,2.2516174517539356
1.3057551297272392,2.2368372275286013
1.4071633230029055,2.250482327177115
1.2714586097747123,2.242666858549529
1.504217839532792,2.2463147129894763
0.9917929075206897,2.263134407839115
1.3416748337246762,2.2500153674987313
1.2587434927096948,2.238409717537859
1.2704839123207718,2.2424795657945484
1.3725558260805542,2.261610967279504
1.317215359737643,2.2501135745807015
1.047992583514096,2.254712365040078
1.2102011825790875,2.253983161526057
1.1620500510281933,2.2391318041676023
1.4281002647910381,2.235488050731476
1.033146860717377,2.242758595975373
1.2593249804522721,2.2452336745198025
1.4197343545337648,2.2446067659144506
1.150775210358641,2.2495453858438785
1.2654370413520697,2.2487562227692384
1.187047383153873,2.246632107347648
0.9544974258712401,2.240838563991077
0.9686137150821806,2.233655552093783
1.1396252209811304,2.2531790237049427
1.0216938507888493,2.2444360787536297
1.16625420513422,2.252284124552944
1.2806258951838507,2.245278466607899
1.195596283280846,2.2509713224924486
1.155323601216952,2.252660323246504
0.7982220314796364,2.255905278146944
1.0042113404843869,2.250565462560678
1.136756968868474,2.234446690302761
1.2016919039588712,2.249085959825504
1.366158280629933,2.2557186399918243
1.395718854517631,2.2434913656469275
0.8946297778052067,2.222012709875924
1.0518692802169556,2.2480478406805684
1.2508265904968594,2.2421674473002398
1.0726718619501463,2.2434647380158057
0.9594936721393125,2.252000119111602
1.1360557848261768,2.239814909217722
1.3714621564133167,2.252195351033558
1.1655609171442303,2.2450200053448417
1.0323466661125085,2.258746816352877
1.1599820250117752,2.2451287328038214
1.13506173490441,2.251422556388613
1.131261073197123,2.24143193587022
1.3533483260527372,2.2478426515241607
1.195685858874225,2.2352984419380224
1.5309112116970653,2.2553417700623792
1.1084951587560514,2.249960467132915
1.3074872140551785,2.2536349146470704
1.2814953535684372,2.2530784965754322
1.0603358336968212,2.2567801454036274
1.197135262838514,2.2313020469326217
1.2120840910127317,2.2526746520398797
0.9763269994798642,2.2397084268814442
1.203651636055406,2.253056273670063
1.2286139603479973,2.2531626407019476
0.9418859862883441,2.238752637285042
1.209928285200183,2.2465333093034605
1.3808341193983211,2.2371813438783854
1.5831593667457793,2.2396585778475324
1.1786306029004496,2.2278828308054797
0.9225765633076258,2.259594692414492
1.4513080535580738,2.253505786572758
1.2050346342691616,2.2469494142151887
1.2821583511508179,2.24324391122016
1.1251077326842083,2.242432336237433
1.263760296194103,2.235537814753088
1.024071952639792,2.2392446762753613
1.2100755549849427,2.237705655296717
