lam,mu
1.1494156450689228,2.2339569605025424
1.179455401334795,2.2339569605025424
1.2573594358836,2.2339569605025424
1.0596329347817306,2.2339569605025424
1.6913850753317388,2.2339569605025424
1.6913850753317388,2.2445875982694146
1.385895362033255,2.2445875982694146
1.385895362033255,2.230855023929969
1.385895362033255,2.248495642655092
1.3323098164874319,2.248495642655092
1.3323098164874319,2.239072809199222
1.3323098164874319,2.2516010327891545
1.1708378069708356,2.2516010327891545
1.1708378069708356,2.2388781945786698
1.2247878588513523,2.2388781945786698
1.2247878588513523,2.2421028704080412
1.2247878588513523,2.244440395800953
1.2247878588513523,2.231669993817591
1.2247878588513523,2.2367955122085803
1.083805483692681,2.2367955122085803
1.083805483692681,2.2409770051109783
1.083805483692681,2.2585038518556417
1.1180392440299483,2.2585038518556417
1.2028099765423543,2.2585038518556417
1.2028099765423543,2.2334403983238387
1.2028099765423543,2.2419725725414126
1.3499858543329601,2.2419725725414126
1.4088327849869897,2.2419725725414126
1.4088327849869897,2.2484980933520946
1.4088327849869897,2.2445068802879744
1.4088327849869897,2.243783019897639
1.5849578369507653,2.243783019897639
1.5849578369507653,2.246365027914702
1.5849578369507653,2.244396183359063
1.0519547681389458,2.244396183359063
1.183068487119615,2.244396183359063
1.183068487119615,2.242411265691322
1.2102618883101197,2.242411265691322
1.1791971194379955,2.242411265691322
1.1311655162387702,2.242411265691322
1.561192862354971,2.242411265691322
0.9931407168479923,2.242411265691322
1.4546986759450888,2.242411265691322
1.2388448178358098,2.242411265691322
1.534008877120087,2.242411265691322
1.4308102696546288,2.242411265691322
0.8829291267001077,2.242411265691322
0.8829291267001077,2.2370618688934325
0.8829291267001077,2.266446792564408
0.849523186011696,2.266446792564408
0.849523186011696,2.2330635571146256
0.8957414114284469,2.2330635571146256
1.318989058749377,2.2330635571146256
1.2246736054128657,2.2330635571146256
1.2246736054128657,2.2395948096960914
1.2246736054128657,2.2519149901779727
1.2246736054128657,2.2494369016201983
1.281226646335945,2.2494369016201983
1.281226646335945,2.24076968273195
1.281226646335945,2.2382850110979042
1.2087140923605821,2.2382850110979042
1.110944082285399,2.2382850110979042
1.0998379632723752,2.2382850110979042
1.3802177131395892,2.2382850110979042
1.4486155412990218,2.2382850110979042
1.4486155412990218,2.2346514162187843
1.4486155412990218,2.247438033155866
1.2060494277181777,2.247438033155866
1.3000761165861527,2.247438033155866
1.3000761165861527,2.2290564223501392
1.3865809021051096,2.2290564223501392
1.3865809021051096,2.2521417670406363
